#Meteorological data for Loobos (from PALS), 1997-.
#1 years of 30 minute data.
#    Down  Down      Rainfall      Snowfall     Air       Wind                 Specific
#    SWR   LWR        rate           rate      temp.      speed     Pressure   humidity
# (W m-2) (W m-2)  (kg m-2 s-1) (kg m-2 s-1)   (K)       (m s-1) )   (Pa)      (kg kg-1)
    0.0  220.4     0.000e+00     0.000e+00   259.750     3.290     100992.5   1.164e-03
    0.0  220.2     0.000e+00     0.000e+00   259.690     3.770     100992.4   1.161e-03
    0.0  219.9     0.000e+00     0.000e+00   259.600     4.290     100992.3   1.150e-03
    0.0  219.5     0.000e+00     0.000e+00   259.490     4.420     100992.1   1.138e-03
    0.0  219.2     0.000e+00     0.000e+00   259.380     4.080     100992.0   1.120e-03
    0.0  219.0     0.000e+00     0.000e+00   259.330     3.730     100991.9   1.114e-03
    0.0  218.6     0.000e+00     0.000e+00   259.210     4.000     100991.8   1.103e-03
    0.0  218.5     0.000e+00     0.000e+00   259.200     4.360     100991.8   1.092e-03
    0.0  218.2     0.000e+00     0.000e+00   259.090     4.380     100991.6   1.081e-03
    0.0  217.5     0.000e+00     0.000e+00   258.870     3.920     100991.3   1.068e-03
    0.0  217.3     0.000e+00     0.000e+00   258.780     4.160     100991.2   1.067e-03
    0.0  217.3     0.000e+00     0.000e+00   258.770     4.070     100991.2   1.074e-03
    0.0  217.3     0.000e+00     0.000e+00   258.770     4.470     100991.2   1.081e-03
    0.0  217.8     0.000e+00     0.000e+00   258.910     4.200     100991.4   1.096e-03
    0.0  217.7     0.000e+00     0.000e+00   258.860     3.950     100991.3   1.098e-03
    0.0  218.0     0.000e+00     0.000e+00   258.960     3.990     100991.5   1.108e-03
    0.0  218.3     0.000e+00     0.000e+00   259.060     3.740     100991.6   1.115e-03
    3.3  218.6     0.000e+00     0.000e+00   259.180     3.610     100991.7   1.124e-03
   36.5  218.9     0.000e+00     0.000e+00   259.280     3.010     100991.9   1.126e-03
   89.5  220.0     0.000e+00     0.000e+00   259.660     3.140     100992.4   1.143e-03
  142.3  221.2     0.000e+00     0.000e+00   260.060     2.890     100992.9   1.160e-03
  191.4  222.4     0.000e+00     0.000e+00   260.500     3.600     100993.4   1.171e-03
  227.9  224.4     0.000e+00     0.000e+00   261.190     3.240     100994.3   1.200e-03
  255.3  226.1     0.000e+00     0.000e+00   261.800     3.140     100995.1   1.224e-03
  269.5  227.9     0.000e+00     0.000e+00   262.410     3.290     100995.8   1.253e-03
  270.9  229.3     0.000e+00     0.000e+00   262.890     4.000     100996.4   1.270e-03
  257.7  230.6     0.000e+00     0.000e+00   263.330     3.090     100997.0   1.292e-03
  233.1  231.3     0.000e+00     0.000e+00   263.570     3.080     100997.3   1.308e-03
  195.8  231.4     0.000e+00     0.000e+00   263.610     3.860     100997.3   1.316e-03
  152.5  230.9     0.000e+00     0.000e+00   263.420     3.490     100997.1   1.316e-03
  107.3  231.1     0.000e+00     0.000e+00   263.430     3.360     100997.1   1.339e-03
   61.3  231.0     0.000e+00     0.000e+00   263.370     3.190     100997.0   1.354e-03
   16.1  229.4     0.000e+00     0.000e+00   262.810     3.160     100996.3   1.322e-03
    0.0  227.5     0.000e+00     0.000e+00   262.140     2.150     100995.5   1.305e-03
